name,birthdate,height,weight,spike,block,world_championships,olympic_games,other,total,club,team,position
Paulina Maj-Erwardt,22/03/1987,166,58,277,255,20,0,88,108,BKS Profi Credit Bielsko Biala,POL,Libero
Joanna Wolosz,07/04/1990,181,71,303,281,11,0,51,62,Imoco Volley,POL,Setter
Martyna Grajber,28/03/1995,180,67,305,280,0,0,78,78,Grupa Azoty Chemik Police,POL,Outside Hitter
Natalia Medrzyk,13/01/1992,183,73,305,287,0,0,70,70,Chemik Police,POL,Outside Hitter
Malwina Smarzek,03/06/1996,191,80,318,292,0,0,79,79,AGIL Volley,POL,Opposite spiker
Emilia Mucha,07/12/1993,186,78,300,283,0,0,36,36,BKS Profi Credit Bielsko Biala,POL,Outside Hitter
Olivia Rozanski,05/06/1997,185,74,315,300,0,0,17,17,DPD IŁCapital Legionovia,POL,Outside Hitter
Marlena Kowalewska,09/01/1992,176,61,295,281,0,0,62,62,Chemik Police,POL,Setter
Weronika Centka,06/09/2000,191,63,312,297,0,0,0,0,Grot Budowlani Łódź,POL,Middle blocker
Natalia Murek,08/09/1999,180,70,302,283,0,0,27,27,Volley Wrocław,POL,Outside Hitter
Zuzanna Gorecka,10/04/2000,181,63,301,284,0,0,6,6,Grot Budowlani Łódź,POL,Outside Hitter
Monika Jagla,04/01/2000,177,69,298,285,0,0,0,0,KS Pałac Bydgoszcz,POL,Libero
Alicja Grabka,09/05/1998,178,62,290,280,0,0,12,12,E.Leclerc Radomka Radom,POL,Setter
Angelina Lazarenko,13/04/1998,193,80,320,305,8,0,14,22,Dinamo Krasnodar,RUS,Middle blocker
Ekaterina Efimova,03/07/1993,192,70,305,295,0,0,14,14,Dinamo - Moscow,RUS,Middle blocker
Daria Pilipenko,09/06/1990,177,69,285,270,0,0,6,6,Uralochka Ekaterinburg,RUS,Libero
Ekaterina Orlova,21/10/1987,193,77,307,301,0,0,5,5,Lokomotiv - Kaliningrad,RUS,Middle blocker
Irina Koroleva,04/10/1991,196,78,305,290,9,6,55,70,Dinamo-Kazan,RUS,Middle blocker
Tatiana Romanova,09/09/1994,178,64,292,285,0,0,9,9,Dinamo Moscow,RUS,Setter
Nataliya Goncharova,01/06/1989,194,75,315,306,22,12,87,121,Dinamo Moscow,RUS,Opposite spiker
Alla Galkina,15/04/1992,178,65,295,290,0,0,15,15,Lokomotiv - Kaliningrad,RUS,Libero
Ekaterina Evdokimova,10/09/1994,190,73,306,285,0,0,0,0,Uralochka - Ekaterinburg,RUS,Middle blocker
Margarita Kurilo,21/06/1993,185,73,304,290,0,0,0,0,Enisey - Krasnoyarsk,RUS,Outside Hitter
Daria Ryseva,05/03/1998,175,69,282,266,0,0,7,7,Lokomotiv - Kaliningrad,RUS,Setter
"Evgeniya Startseva
c",12/02/1989,185,68,294,290,22,6,66,94,Dinamo-Kazan,RUS,Setter
Irina Voronkova,20/10/1995,190,84,305,290,0,6,12,18,Lokomotiv - Kaliningrad,RUS,Outside Hitter
Valeriya Zaytseva,24/03/1995,187,71,307,297,0,0,0,0,Lokomotiv - Kaliningrad,RUS,Middle blocker
Kseniia Parubets,31/10/1994,183,64,300,286,0,0,37,37,Uralochka - Ekaterinburg,RUS,Outside Hitter
Mariia Khaletskaia,31/07/1994,195,80,311,302,0,0,0,0,Dinamo - Krasnodar,RUS,Opposite spiker
Maria Vorobyeva,24/02/1998,184,77,306,288,8,7,14,29,Zarechie Odintsovo,RUS,Outside Hitter
Anna Kotikova,13/10/1999,185,71,306,300,0,0,7,7,Dinamo Kazan,RUS,Opposite spiker
Tatiana Ezhak,25/01/1996,195,69,305,275,0,0,5,5,Zarechie Odintsovo,RUS,Outside Hitter
Olga Zubareva,08/11/1998,189,74,305,297,0,0,0,0,Dinamo Krasnodar,RUS,Middle blocker
Kristina Kurnosova,17/06/1997,176,62,288,278,0,0,5,5,Zarechie Odintsovo,RUS,Libero
Sofya Kuznetsova,31/10/1999,182,65,300,295,0,0,0,0,Leningradka - Sankt Peterburg,RUS,Outside Hitter
Tatiana Kadochkina,21/03/2003,192,77,315,292,0,0,8,8,Dinamo - Kazan,RUS,Opposite spiker
Polina Matveeva,08/08/2002,194,74,300,281,0,0,4,4,Zarechie Oditsovo,RUS,Setter
Victoriia Russu,16/02/1999,193,70,311,305,0,0,7,7,Zarechie Odintsovo,RUS,Outside Hitter
Bianka Busa,25/07/1994,187,74,312,298,13,8,119,140,Fenerbahce Istanbul (TUR),SRB,Outside Hitter
Katarina Lazovic,12/09/1999,182,65,290,277,0,0,48,48,LKS Comercecon Lodz (POL),SRB,Outside Hitter
Emilija Zakic,10/08/1994,180,72,290,275,0,0,4,4,Jedinstvo Stara Pazova (SRB),SRB,Setter
Mina Popovic,16/09/1994,187,73,315,305,0,8,75,83,FENERBAHÇE,SRB,Middle blocker
Maja Savic,14/08/1993,189,70,305,295,0,0,66,66,Zeleznicar Lajkovac (SRB),SRB,Middle blocker
Katarina Jovic,01/10/1999,191,76,292,284,0,0,5,5,Vollero Le Cannet (FRA),SRB,Outside Hitter
Sladjana Mirkovic,07/10/1995,185,78,293,283,0,0,83,83,Eczacibasi Istanbul (TUR),SRB,Setter
Brankica Mihajlovic,13/04/1991,190,83,302,290,21,13,135,169,Fenerbahce Istanbul (TUR),SRB,Outside Hitter
Stefana Veljkovic,09/01/1990,190,76,325,310,33,13,151,197,Igor Gorgonzola Novara (ITA),SRB,Middle blocker
Teodora Pusic,12/03/1993,170,58,270,260,13,0,68,81,CSM Targoviste (ROU),SRB,Libero
Ana Bjelica,03/04/1992,190,78,310,305,13,8,162,183,Radomka Radon (POL),SRB,Opposite spiker
"Maja Aleksic
c",06/06/1997,188,72,302,289,13,0,55,68,CSM Volei Alba Blaj (ROU),SRB,Middle blocker
Tijana Boškovic,08/03/1997,193,82,315,300,22,8,82,112,Eczacibasi VitrA Istanbul (TUR,SRB,Opposite spiker
Bojana Milenkovic,06/03/1997,185,70,294,288,5,0,59,64,CSM Volei Alba Blaj (ROU),SRB,Outside Hitter
Jelena Blagojevic,01/12/1988,181,67,302,284,0,0,70,70,KS Developres RZESZOW (POL),SRB,Outside Hitter
Jovana Kocic,24/02/1998,190,85,290,285,0,0,41,41,CSM Volei Alba Blaj (ROU),SRB,Middle blocker
Sara Lozo,29/04/1997,186,61,295,290,0,0,44,44,Altay Volleyball Club (KAZ),SRB,Opposite spiker
Mila Djordjevic,20/04/1998,180,58,290,280,0,0,0,0,Crvena Zvezda Beograd (SRB),SRB,Setter
Aleksandra Cirovic,30/09/1997,175,57,285,275,0,0,25,25,CSM Volei Alba Blaj (ROU),SRB,Setter
Sara Vucicevic,29/04/1997,186,66,287,282,8,0,39,47,Crvena Zvezda Beograd (SRB),SRB,Middle blocker
Ana Pejicic,05/11/2000,190,69,299,288,0,0,0,0,Vizura Beograd (SRB),SRB,Outside Hitter
Milica Kubura,20/03/1995,192,77,297,280,0,0,23,23,Partizan Beograd (SRB),SRB,Opposite spiker
Aleksandra Tadic,24/12/1997,174,60,270,265,0,0,10,10,TENT Obrenovac (SRB),SRB,Libero
Marija Popovic,20/08/1996,162,60,230,225,0,0,0,0,East Tennesse State (USA),SRB,Libero
Bojana Gocanin,25/09/2002,179,66,286,276,0,0,0,0,TENT Obrenovac (SRB),SRB,Libero
Wipawee Srithong,28/01/1999,174,65,288,266,0,0,1,1,Supreme VC,THA,Outside Hitter
Piyanut Pannoy,10/11/1989,170,63,280,275,1,0,27,28,Supreme  VC,THA,Libero
Pornpun Guedpard,05/05/1993,170,63,288,279,1,0,21,22,Toyota Auto Body Queenseis,THA,Setter
Thatdao Nuekjang,03/02/1994,184,72,308,296,0,0,17,17,JT Marvelous VC,THA,Middle blocker
Pleumjit Thinkaow,09/11/1983,180,67,303,283,2,0,70,72,Supreme VC,THA,Middle blocker
Onuma Sittirak,13/06/1986,175,77,304,285,1,0,45,46,Diamond Food VC,THA,Outside Hitter
Watchareeya Nuanjam,22/07/1996,178,70,292,279,1,0,1,2,Supreme VC,THA,Middle blocker
Wanitchaya Luangtonglang,08/10/1992,177,60,300,275,2,0,8,10,Nakhonratchasima Vc,THA,Outside Hitter
Wilavan Apinyapong,06/06/1984,173,68,294,282,2,0,58,60,Supreme  VC,THA,Libero
Amporn Hyapha,19/05/1985,180,71,301,290,2,0,53,55,Diamond Food VC,THA,Middle blocker
Tapaphaipun Chaisri,29/11/1989,168,73,295,276,0,0,34,34,Khonkaen Star VC,THA,Libero
"Nootsara Tomkom
c",07/07/1985,169,56,289,278,1,0,58,59,Diamond Food VC,THA,Setter
Chitaporn Kamlangmak,17/03/1996,184,74,290,282,0,0,0,0,Khonkaen Star VC,THA,Middle blocker
Malika Kanthong,08/01/1987,178,78,292,278,1,0,46,47,Diamond Food VC,THA,Opposite spiker
Tichaya Boonlert,14/02/1997,179,64,293,284,0,0,1,1,3BB Nakhonnon VC,THA,Setter
Ajcharaporn Kongyot,18/06/1995,178,65,298,287,1,0,20,21,Supreme VC,THA,Outside Hitter
Chatchu-On Moksri,06/11/1999,178,58,298,290,1,0,7,8,Nakhon Ratchasima The Mall VC,THA,Outside Hitter
Supattra Pairoj,27/06/1990,160,58,275,265,1,0,2,3,Supreme VC,THA,Libero
Gullapa Piampongsan,17/03/1991,176,62,280,274,0,0,0,0,Diamond Food VC,THA,Setter
Nattaporn Sanitklang,14/08/1991,166,55,275,260,1,0,6,7,Nakhon Ratchasima The Mall VC,THA,Libero
Jutarat Montripila,02/10/1986,175,60,290,280,0,0,1,1,Nakhonnont VC,THA,Outside Hitter
Tichakorn Boonlert,22/03/2001,180,78,294,283,0,0,2,2,3BB Nakhonnon VC,THA,Middle blocker
Thanacha Sooksod,26/05/2000,180,70,283,275,0,0,0,0,Diamond Food VC,THA,Opposite spiker
Kaewkalaya Kamulthala,07/08/1994,178,66,298,281,0,0,5,5,Khon Kaen Star VC,THA,Middle blocker
Tikamporn Changkeaw,12/12/1984,168,62,260,252,0,0,1,1,Nakhon Ratchasima The Mall VC,THA,Libero
Gizem Orge,26/04/1993,172,59,270,260,0,0,147,147,FENERBAHÇE,TUR,Libero
Simge Sebnem Akoz,23/04/1991,168,56,250,245,0,0,34,34,Eczacibasi,TUR,Libero
Cansu Özbay,17/10/1996,182,78,298,290,0,0,83,83,Vakifbank,TUR,Setter
Seyma Ercan,05/07/1994,187,73,305,294,0,0,105,105,T.H.Y.,TUR,Outside Hitter
Kubra Caliskan,13/10/1994,200,88,310,310,4,0,52,56,Vakifbank,TUR,Middle blocker
Hande Baladin,01/09/1997,190,78,309,300,0,0,151,151,Eczacıbaşı,TUR,Outside Hitter
Buse Unal,29/07/1997,188,74,299,290,0,0,0,0,Fenerbahce,TUR,Setter
Meliha Ismailoglu,17/09/1993,188,73,303,291,0,0,114,114,Fenerbahçe,TUR,Outside Hitter
Melis Durul,21/10/1993,185,74,303,291,0,0,48,48,VakifBank Istanbul (TUR),TUR,Opposite spiker
Ezgi Dilik,12/06/1995,177,72,288,280,0,0,0,0,Eczacibasi Vitra Istanbul,TUR,Setter
Gözde Yilmaz,09/09/1991,194,79,316,306,0,0,0,0,Eczacibasi Vitra Istanbul,TUR,Opposite spiker
"Meryem Boz
c",03/02/1988,190,68,323,313,0,0,120,120,Vakıfbank,TUR,Opposite spiker
Eda Erdem Dündar,22/06/1987,188,75,307,297,2,1,300,303,Fenerbahce,TUR,Middle blocker
Ayçin Akyol,15/06/1999,188,72,305,298,0,0,0,0,Karayollari,TUR,Middle blocker
Yasemin Guveli,05/01/1999,188,72,306,298,0,0,0,0,Eczacibaşı,TUR,Middle blocker
Zehra Gunes,07/07/1999,198,88,319,310,0,0,95,95,Vakifbank,TUR,Middle blocker
Asli Kalac,13/12/1995,185,73,306,297,0,0,0,0,Galatasaray,TUR,Middle blocker
Aylin Acar,21/07/1995,169,68,300,290,0,0,11,11,Vakifbank,TUR,Libero
Fatma Yildirim,03/01/1990,180,64,304,292,0,0,0,0,Fenerbahce,TUR,Outside Hitter
Elif Şahin,19/01/2001,190,73,300,291,0,0,0,0,Karayollari,TUR,Setter
Humay Topaloglu,03/08/1996,180,64,300,290,0,0,0,0,Besiktas,TUR,Outside Hitter
Neriman Ozsoy,13/07/1988,190,78,312,300,1,0,15,16,Minas Tenis Clube,TUR,Outside Hitter
Cansu Cetin,26/05/1993,181,69,298,290,0,0,28,28,FENERBAHÇE,TUR,Libero
Naz Aydemir Akyol,14/08/1990,186,68,304,294,12,6,120,138,Fenerbahçe,TUR,Setter
Ebrar Karakurt,17/01/2000,197,76,315,304,0,0,54,54,NOVARA,TUR,Outside Hitter
Micha Hancock,10/11/1992,180,75,305,297,12,0,61,73,Agil Volley,USA,Setter
Jordyn Poulter,31/07/1997,188,77,306,295,0,0,27,27,Uyba Volley,USA,Setter
Carli Lloyd,06/08/1989,180,75,313,295,12,8,84,104,Praia Clube,USA,Setter
Rachael Adams,03/06/1990,188,79,318,307,25,8,107,140,Aydin Buyuksehir Bld.,USA,Middle blocker
Tetori Dixon,04/08/1992,191,83,306,295,25,0,145,170,Athletes Unlimited,USA,Middle blocker
Lauren Carlini,28/02/1995,185,75,302,295,0,0,63,63,Turk Hava Yollari Sport Club,USA,Setter
Lauren Gibbemeyer,08/09/1988,187,71,307,293,12,0,135,147,Eczacibasi Vitra Istanbul,USA,Middle blocker
Madison Kingdon Rishel,20/04/1993,183,75,307,298,0,0,61,61,Turk Hava Yollari Sport Club,USA,Outside Hitter
"Jordan Larson
c",16/10/1986,188,75,302,295,36,16,232,284,Athletes Unlimted,USA,Outside Hitter
Andrea Drews,25/12/1993,191,77,316,312,0,0,81,81,JT Marvelous,USA,Opposite spiker
Jordan Thompson,05/05/1997,193,70,320,314,0,0,24,24,Eczacibasi Vitra Istanbul,USA,Opposite spiker
Sarah Wilhite,30/07/1995,185,75,305,300,12,0,47,59,Nilufer Belediye,USA,Outside Hitter
Michelle Bartsch-Hackley,12/02/1990,190,78,305,296,12,0,94,106,Vakifbank,USA,Outside Hitter
Kimberly Hill,30/11/1989,193,72,320,310,25,8,136,169,Imoco Volley,USA,Outside Hitter
Megan Courtney,27/10/1993,185,61,314,300,12,0,78,90,Scandicci Savino Del Bene,USA,Outside Hitter
Mikaela Foecke,22/02/1997,191,79,302,295,0,0,0,0,USA Women's Volleyball Team,USA,Outside Hitter
Hannah Tapp,21/06/1995,191,77,297,290,0,0,44,44,Hitachi Automotive Systems,USA,Middle blocker
Dana Rettke,21/01/1999,203,80,315,308,0,0,16,16,USA Women's Volleyball Team,USA,Middle blocker
Simone Lee,07/10/1996,186,70,310,305,0,0,10,10,Beylikduzu Voleybol Ihtisas,USA,Outside Hitter
Haleigh Washington,22/09/1995,190,82,307,295,0,0,43,43,Agil Volley,USA,Middle blocker
Kelsey Robinson,25/06/1992,188,73,307,298,25,8,125,158,Fenerbahce SK,USA,Outside Hitter
Chiaka Ogbogu,15/04/1995,188,73,318,307,0,0,47,47,Vakifbank,USA,Middle blocker
Karsta Lowe,02/02/1993,194,75,315,305,12,8,80,100,Athletes Unlimited,USA,Opposite spiker
Mary Lake,16/09/1998,170,63,263,257,0,0,0,0,USA Women's Volleyball Team,USA,Libero
Danielle Cuttino,22/06/1996,195,84,325,316,0,0,20,20,Minas Tenis Clube,USA,Opposite spiker
